Dataset,Model,Preprocessor,Fold,Converged,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_PR_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_PR_AUC,Test_MCC,Error_Log
kc2,XGBoost,IQR Removal + Scaling,8,,0.0662801999988005,0.0028210999989823,,,45.0,367.0,7.0,51.0,0.9481673351158646,0.8456160084720723,0.5783974551514225,1.0,39.0,2.0,10.0,0.7139689578713969,0.4288753433138459,0.0737915550622407,
kc2,XGBoost,IQR Removal + Scaling,9,,0.0695062999984656,0.0040693999999348,,,69.0,359.0,15.0,27.0,0.9552696078431372,0.8479358646136157,0.714133698278723,7.0,37.0,4.0,4.0,0.8669623059866962,0.6824820569501421,0.5388026607538803,
kc2,XGBoost,IQR Removal + Scaling,10,,0.0573392000005696,0.0027628999996522,,,42.0,369.0,5.0,54.0,0.9446579768270944,0.8383141239330636,0.5699704467430112,0.0,39.0,2.0,11.0,0.5764966740576497,0.344877885462301,-0.1035939540565624,
kc2,XGBoost,Yeo-Johnson,1,,0.2408054999996238,0.0050228000000061,0.5961694717407227,0.1405401229858398,88.0,373.0,0.0,8.0,0.9886757149240392,0.974219114602636,0.9473220532722348,7.0,36.0,6.0,4.0,0.8246753246753247,0.5466604548155349,0.4651705239840723,
kc2,XGBoost,Yeo-Johnson,2,,0.114629399999103,0.0045585999996546,,,90.0,373.0,0.0,6.0,0.9956713583556748,0.9874678450610463,0.9605510456741204,7.0,34.0,8.0,4.0,0.7380952380952381,0.4923316165608655,0.4014290565729851,
kc2,XGBoost,Yeo-Johnson,3,,0.1028397000009135,0.003467599999567,,,90.0,373.0,0.0,7.0,0.9921367568613362,0.9802619766935308,0.954328744840284,5.0,37.0,5.0,5.0,0.7702380952380954,0.5587996018565529,0.3809523809523809,
kc2,XGBoost,Yeo-Johnson,4,,0.0881239999998797,0.004914799999824,,,89.0,373.0,0.0,8.0,0.9886404466432658,0.9740623640959176,0.947765867797998,6.0,41.0,1.0,4.0,0.8952380952380952,0.8210784313725489,0.6653274530661402,
kc2,XGBoost,Yeo-Johnson,5,,0.1136350999986461,0.0050797000003512,,,89.0,373.0,0.0,8.0,0.989137945330422,0.9746646492420038,0.947765867797998,3.0,38.0,4.0,7.0,0.7023809523809523,0.4378140603947055,0.2364386816681324,
kc2,XGBoost,Yeo-Johnson,6,,0.1048985000015818,0.005043499999374,,,91.0,374.0,0.0,5.0,0.9920900178253118,0.9809754867040796,0.967166567735332,4.0,39.0,2.0,7.0,0.6674057649667406,0.5568098471855406,0.4024811381306976,
kc2,XGBoost,Yeo-Johnson,7,,0.0916887999992468,0.0050396999995427,,,88.0,374.0,0.0,8.0,0.989764371657754,0.9750071100348038,0.9473486470079449,4.0,37.0,4.0,7.0,0.6762749445676276,0.5535594540846642,0.301176889295036,
kc2,XGBoost,Yeo-Johnson,8,,0.0902900999990379,0.0049995000008493,,,88.0,374.0,0.0,8.0,0.9892908868092692,0.9743383099584664,0.9473486470079449,7.0,39.0,2.0,4.0,0.7849223946784922,0.71906417775983,0.6343108212898084,
kc2,XGBoost,Yeo-Johnson,9,,0.1043807000005472,0.0033349000004818,,,89.0,374.0,0.0,7.0,0.990460672905526,0.9773465546763552,0.9539655686720164,7.0,39.0,2.0,4.0,0.7583148558758316,0.5429374918011283,0.6343108212898084,
kc2,XGBoost,Yeo-Johnson,10,,0.0998768999997992,0.0031638000000384,,,89.0,374.0,0.0,7.0,0.9916722370766488,0.9792127453195636,0.9539655686720164,4.0,39.0,2.0,7.0,0.614190687361419,0.4096417710239791,0.4024811381306976,
kc2,XGBoost,Yeo-Johnson + Scaling,1,,0.2361340000006748,0.005635199999233,0.5974435806274414,0.1412887573242187,88.0,373.0,0.0,8.0,0.9886757149240392,0.974219114602636,0.9473220532722348,7.0,36.0,6.0,4.0,0.8246753246753247,0.5466604548155349,0.4651705239840723,
kc2,XGBoost,Yeo-Johnson + Scaling,2,,0.1133877000011125,0.005493500000739,,,90.0,373.0,0.0,6.0,0.9956713583556748,0.9874678450610463,0.9605510456741204,7.0,34.0,8.0,4.0,0.7380952380952381,0.4923316165608655,0.4014290565729851,
kc2,XGBoost,Yeo-Johnson + Scaling,3,,0.1177301000006991,0.0049194999992323,,,90.0,373.0,0.0,7.0,0.9921367568613362,0.9802619766935308,0.954328744840284,5.0,37.0,5.0,5.0,0.7702380952380954,0.5587996018565529,0.3809523809523809,
kc2,XGBoost,Yeo-Johnson + Scaling,4,,0.1018877999995311,0.0048924000002443,,,89.0,373.0,0.0,8.0,0.9886404466432658,0.9740623640959176,0.947765867797998,6.0,41.0,1.0,4.0,0.8952380952380952,0.8210784313725489,0.6653274530661402,
kc2,XGBoost,Yeo-Johnson + Scaling,5,,0.092979799999739,0.003351700001076,,,89.0,373.0,0.0,8.0,0.989137945330422,0.9746646492420038,0.947765867797998,3.0,38.0,4.0,7.0,0.7023809523809523,0.4378140603947055,0.2364386816681324,
kc2,XGBoost,Yeo-Johnson + Scaling,6,,0.1179090999994514,0.0049025000007532,,,91.0,374.0,0.0,5.0,0.9920900178253118,0.9809754867040796,0.967166567735332,4.0,39.0,2.0,7.0,0.6674057649667406,0.5568098471855406,0.4024811381306976,
kc2,XGBoost,Yeo-Johnson + Scaling,7,,0.0951053000007959,0.0032446999994135,,,88.0,374.0,0.0,8.0,0.989764371657754,0.9750071100348038,0.9473486470079449,4.0,37.0,4.0,7.0,0.6762749445676276,0.5535594540846642,0.301176889295036,
kc2,XGBoost,Yeo-Johnson + Scaling,8,,0.0935677999987092,0.0048790000000735,,,88.0,374.0,0.0,8.0,0.9892908868092692,0.9743383099584664,0.9473486470079449,7.0,39.0,2.0,4.0,0.7849223946784922,0.71906417775983,0.6343108212898084,
kc2,XGBoost,Yeo-Johnson + Scaling,9,,0.1040722999987338,0.0041053000004467,,,89.0,374.0,0.0,7.0,0.990460672905526,0.9773465546763552,0.9539655686720164,7.0,39.0,2.0,4.0,0.7583148558758316,0.5429374918011283,0.6343108212898084,
kc2,XGBoost,Yeo-Johnson + Scaling,10,,0.0963367000003927,0.0043693000006896,,,89.0,374.0,0.0,7.0,0.9916722370766488,0.9792127453195636,0.9539655686720164,4.0,39.0,2.0,7.0,0.614190687361419,0.4096417710239791,0.4024811381306976,
